Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Pick and Ban Order - LCS 2024 Spring,Region,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LEC 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LCK 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring,Pick and Ban Order - LPL 2024 Spring
Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD,,Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD,Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD,Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Tiebreakers,NRG,Dignitas,0 - 1,2.0,14.5,Vi,Kalista,Taliyah,Senna,Tristana,Varus,Smolder,"Orianna, Rell","Hwei, Nautilus",Jinx,Sejuani,Jayce,Jarvan IV,Nocturne,Tahm Kench,"Aatrox, Lillia",Gnar,Bot,Mid,Support,Top,Jungle,Mid,Jungle,Bot,Support,Top,SB,,LCS 2024 Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6,FlyQuest,Dignitas,1 - 0,1.0,14.5,Taliyah,Orianna,Smolder,Kalista,Vi,Ashe,Senna,"Varus, Nautilus","Tahm Kench, Hwei",Ahri,Renekton,Gnar,Olaf,Darius,Viego,"Udyr, Graves",Twisted Fate,Bot,Support,Mid,Top,Jungle,Bot,Support,Mid,Jungle,Top,SB,,LCS 2024 Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6,Cloud9,Shopify Rebellion,1 - 0,1.0,14.5,Smolder,Nidalee,Varus,Kalista,Taliyah,Senna,Lucian,"Ivern, Nautilus","Nami, Renekton",Kai'Sa,Ahri,Aatrox,Sejuani,Hwei,Udyr,"Neeko, Kindred",Tristana,Bot,Support,Top,Mid,Jungle,Jungle,Support,Bot,Top,Mid,SB,,LCS 2024 Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6,NRG,100 Thieves,0 - 1,2.0,14.5,Jayce,Kalista,Taliyah,Senna,Vi,Lucian,Nautilus,"Smolder, Alistar","Renekton, Varus",Olaf,Orianna,Karma,Hwei,Ahri,Veigar,"Ivern, Corki",Shaco,Support,Top,Bot,Jungle,Mid,Bot,Support,Top,Mid,Jungle,SB,,LCS 2024 Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6,Immortals,Team Liquid,0 - 1,2.0,14.5,Aurelion Sol,Jayce,Nautilus,Kalista,Varus,Ivern,Vi,"Smolder, Ziggs","Ahri, Kai'Sa",Renekton,Rell,Poppy,Aatrox,Sejuani,Volibear,"Rakan, Gragas",Tahm Kench,Jungle,Mid,Bot,Support,Top,Bot,Mid,Top,Jungle,Support,SB,,LCS 2024 Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6,Shopify Rebellion,100 Thieves,0 - 1,2.0,14.5,Smolder,Ivern,Vi,Senna,Kalista,Varus,Renekton,"Taliyah, Jayce","Kai'Sa, Karma",Nautilus,Wukong,Xayah,Xin Zhao,Trundle,Tristana,"Volibear, Leona",Yone,Top,Bot,Mid,Jungle,Support,Jungle,Top,Support,Bot,Mid,SB,https://youtu.be/lo6hH5c6V4c?t=108,LCS 2024 Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6,Team Liquid,Dignitas,0 - 1,2.0,14.5,Vi,Udyr,Senna,Kalista,Smolder,Varus,Nautilus,"Xayah, Rakan","Taliyah, Aphelios",Ahri,Renekton,Sejuani,Rumble,Aatrox,Rell,"Wukong, K'Sante",Gnar,Support,Mid,Bot,Jungle,Top,Bot,Support,Mid,Jungle,Top,SB,https://youtu.be/zBqyF46P4No?t=16,LCS 2024 Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6,FlyQuest,NRG,1 - 0,1.0,14.5,Jayce,Orianna,Vi,Olaf,Wukong,Karma,Kalista,"Senna, Nautilus","Renata Glasc, Taliyah",Ahri,Sejuani,Volibear,Xin Zhao,Darius,Lee Sin,"Renekton, Poppy",Rumble,Bot,Support,Mid,Top,Jungle,Bot,Support,Mid,Jungle,Top,SB,https://youtu.be/MNOZfFkW6R4?t=49,LCS 2024 Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6,Immortals,Cloud9,1 - 0,1.0,14.5,Nautilus,Ivern,Lucian,Kalista,Varus,Volibear,Jayce,"Senna, Lee Sin","Ziggs, Vi",Ornn,Leona,Malphite,Orianna,Ahri,Aatrox,"Taliyah, Bard",Akali,Top,Bot,Jungle,Mid,Support,Bot,Jungle,Support,Top,Mid,SB,https://youtu.be/_VsK23MS7AE?t=1780,LCS 2024 Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
